job_position,technology_skills,knowledge,skills
, Microsoft Word ,,Operations Analysis
,,,Social Perceptiveness
,,,Time Management
,,,Coordination
,,,Instructing
,,,Persuasion
,,,Service Orientation
Fire-Prevention and Protection Engineers,Administration software ,Engineering and Technology,Critical Thinking
, Network flow modeling software Analytical or scientific software ,Design,Active Listening
, A Large Outdoor Fire plume Trajectory model Flat Terrain ALOFT-FT,Building and Construction,Complex Problem Solving
, Berkeley Algorithm for Breaking Window Glass in a Compartment Fire BREAK1,Mathematics,Reading Comprehension
, Crows Dynamics Simulex,Physics,Active Learning
, Simulation of fires in enclosures SOFIE software  (see all 35 examples)Computer aided design CAD software   ,English Language,Speaking
, Autodesk AutoCAD  ,Customer and Personal Service,Systems Analysis
, Autodesk Revit  ,Chemistry,Judgment and Decision Making
, Bentley Microstation  ,Mechanical,Science
, Computational Dynamics STAR-CD Graphics or photo imaging software ,Public Safety and Security,Operations Analysis
, Microsoft Visio Office suite software ,Administration and Management,Systems Evaluation
, Microsoft Office Operating system software ,Computers and Electronics,Writing
, Microsoft Windows Presentation software ,Law and Government,Time Management
, Microsoft PowerPoint Project management software ,,Management of Personnel Resources
, Microsoft Project Spreadsheet software ,,Quality Control Analysis
, Microsoft Excel Word processing software ,,Coordination
, Microsoft Word ,,Instructing
,,,Learning Strategies
,,,Mathematics
,,,Monitoring
,,,Persuasion
,,,Service Orientation
,,,Social Perceptiveness
Fuel Cell Engineers,Analytical or scientific software ,Engineering and Technology,Reading Comprehension
, FactSage,Physics,Critical Thinking
, Gaussian GaussView,Mathematics,Systems Analysis
, GE Energy GateCycle,Chemistry,Active Listening
, Minitab  (see all 13 examples)Computer aided design CAD software   ,Design,Judgment and Decision Making
, Autodesk AutoCAD Development environment software ,Computers and Electronics,Science
, C  ,Mechanical,Writing
, National Instruments LabVIEW  ,English Language,Monitoring
, Wind River Systems C/C++ Compiler Suite Industrial control software ,,Speaking
, Supervisory control and data acquisition SCADA software Object or component oriented development software ,,Systems Evaluation
, C++ Office suite software ,,Time Management
