job_position,technology_skills,knowledge,skills
, Rezdy,Telecommunications,Judgment and Decision Making
, Rezgo  (see all 5 examples)Customer relationship management CRM software ,Transportation,Active Learning
, Colibripms Software Colibri,,Coordination
, MGHworld Travel Agents,,Critical Thinking
, Sabre Airline Solutions SabreSonic Customer Sales & Service Data base user interface and query software ,,Negotiation
, Microsoft Access  ,,Writing
, Travel Agent CMS,,Complex Problem Solving
, TravelCarma,,Monitoring
, Travii  (see all 10 examples)Electronic mail software ,,Time Management
, Microsoft Outlook Enterprise resource planning ERP software   ,,
, Sabre Central Command Office suite software ,,
, Microsoft Office Presentation software ,,
, Microsoft PowerPoint Spreadsheet software ,,
, Microsoft Excel Word processing software ,,
, Microsoft Word ,,
Travel Guides,Accounting software ,Customer and Personal Service,Active Listening
, Financial accounting software Customer relationship management CRM software ,Sales and Marketing,Speaking
, Customer information databases Data base user interface and query software ,Geography,Service Orientation
, Travel Agent CMS Electronic mail software ,Clerical,Coordination
, Microsoft Outlook Internet browser software ,Administration and Management,Persuasion
, Web browser software Mobile location based services software ,Transportation,Social Perceptiveness
, Global Positioning System GPS software Office suite software ,English Language,Critical Thinking
, Microsoft Office Spreadsheet software ,Economics and Accounting,Reading Comprehension
, Microsoft Excel Word processing software ,,Complex Problem Solving
, Microsoft Word ,,Judgment and Decision Making
,,,Negotiation
,,,Time Management
,,,Writing
Credit Counselors,Data base user interface and query software ,Customer and Personal Service,Active Listening
, CoreLogic DebtorTrace,English Language,Speaking
, LexisNexis Accurint,Clerical,Writing
, Merlin Information Services databases,Education and Training,Critical Thinking
, Microsoft Access Electronic mail software ,Mathematics,Reading Comprehension
, Email software,Therapy and Counseling,Active Learning
, Microsoft Outlook Enterprise resource planning ERP software   ,,Service Orientation
, Oracle PeopleSoft  ,,Complex Problem Solving
, SAP Financial analysis software ,,Judgment and Decision Making
, Cooperative Processing Resources DMS Professional Suite,,Persuasion
, Freddie Mac Loan Prospector,,Monitoring
, Integrant DebtLogic,,Negotiation
, Prime Debt Software Credit Repair  (see all 7 examples)Information retrieval or search software ,,Social Perceptiveness
, LexisNexis Internet browser software ,,Coordination
, Web browser software Network conferencing software ,,Instructing
, Chat software Office suite software ,,Learning Strategies
, Microsoft Office Presentation software ,,Mathematics
, Microsoft PowerPoint Spreadsheet software ,,Systems Evaluation
, Microsoft Excel Word processing software ,,Time Management
, Microsoft Word ,,
Loan Counselors,Data base user interface and query software ,Mathematics,Active Listening
, EDExpress,English Language,Critical Thinking
, ELM Resources ELM,Customer and Personal Service,Reading Comprehension
, EMT Applications CounselorMax,Computers and Electronics,Speaking
, Sungard Higher Education PowerFAIDS  (see all 10 examples)Electronic mail software ,Clerical,Active Learning
, Microsoft Outlook Enterprise resource planning ERP software   ,Law and Government,Social Perceptiveness
, Datatel Colleague,Communications and Media,Writing
, Oracle PeopleSoft  ,,Judgment and Decision Making
, SAP Internet browser software ,,Service Orientation
, Microsoft Internet Explorer,,Coordination
, Web browser software Office suite software ,,Instructing
, Microsoft Office Presentation software ,,Learning Strategies
, Microsoft PowerPoint Spreadsheet software ,,Mathematics
, Microsoft Excel Word processing software ,,Time Management
, Microsoft Word ,,Complex Problem Solving
,,,Negotiation
,,,Persuasion
,,,Systems Analysis
Clinical Psychologists,Accounting software ,Psychology,Active Listening
, MPMsoft billing Analytical or scientific software ,Therapy and Counseling,Social Perceptiveness
, Comprehensive Affect Testing System CATS,English Language,Speaking
, Noldus Information Technology The Observer,Customer and Personal Service,Complex Problem Solving
, Statistical software,Law and Government,Critical Thinking
, Testing software Calendar and scheduling software ,Administration and Management,Active Learning
, SpectraSoft AppointmentsPRO Internet browser software ,Education and Training,Reading Comprehension
, Web browser software Medical software ,Public Safety and Security,Service Orientation
, Athena Software Penelope Case Management,,Writing
, Healthcare common procedure coding system HCPCS  ,,Judgment and Decision Making
, Trinity Software Solutions BEACON,,Monitoring
, UNI/CARE Pro-Filer  (see all 37 examples)Office suite software ,,Science
, Microsoft Office Spreadsheet software ,,Persuasion
, Microsoft Excel Word processing software ,,Instructing
, Microsoft Word ,,Learning Strategies
,,,Systems Analysis
,,,Coordination
,,,Negotiation
,,,Time Management
Counseling Psychologists,Accounting software ,Psychology,Social Perceptiveness
, MPMsoft billing Analytical or scientific software ,Therapy and Counseling,Active Listening
, Comprehensive Affect Testing System CATS,Customer and Personal Service,Critical Thinking
, Noldus Information Technology The Observer,Sociology and Anthropology,Service Orientation
, Statistical software,English Language,Speaking
, Testing software Calendar and scheduling software ,Education and Training,Active Learning
, SpectraSoft AppointmentsPRO,Clerical,Judgment and Decision Making
, Thriveworks TherapyBuddy Data base user interface and query software ,,Writing
, O*NET OnLine Internet browser software ,,Monitoring
, Web browser software Medical software ,,Persuasion
, Athena Software Penelope Case Management,,Reading Comprehension
, ICANotes,,Complex Problem Solving
, Trinity Software Solutions BEACON,,Negotiation
, UNI/CARE Pro-Filer  (see all 36 examples)Office suite software ,,Coordination
, Microsoft Office Presentation software ,,Instructing
, Microsoft PowerPoint Spreadsheet software ,,Learning Strategies
, Google Sheets,,Science
, Microsoft Excel Word processing software ,,Systems Evaluation
, Google Docs,,Time Management
, Microsoft Word ,,Management of Personnel Resources
Industrial-Organizational Psychologists,Analytical or scientific software ,Psychology,Active Listening
, IBM SPSS Statistics  ,Personnel and Human Resources,Reading Comprehension
, SAS  ,English Language,Complex Problem Solving
, Scientific Software International TESTFACT,Administration and Management,Judgment and Decision Making
, Winsteps  (see all 12 examples)Data base user interface and query software ,Education and Training,Speaking
, Microsoft Access Document management software ,Mathematics,Critical Thinking
, Adobe Systems Adobe Acrobat Electronic mail software ,Customer and Personal Service,Systems Analysis
, Microsoft Outlook Enterprise resource planning ERP software   ,Sociology and Anthropology,Systems Evaluation
, Oracle PeopleSoft Graphics or photo imaging software ,Computers and Electronics,Writing
, Microsoft Visio Human resources software ,Sales and Marketing,Monitoring
, Human resource information system HRIS Internet browser software ,,Social Perceptiveness
, Web browser software Office suite software ,,Science
, Microsoft Office Presentation software ,,Time Management
, Microsoft PowerPoint Project management software ,,Active Learning
, Microsoft Project Spreadsheet software ,,Coordination
, Google Sheets,,Persuasion
, Microsoft Excel Web platform development software ,,Learning Strategies
, Hypertext markup language HTML Word processing software ,,Mathematics
, Microsoft Word ,,Operations Analysis
,,,Instructing
,,,Management of Personnel Resources
,,,Service Orientation
,,,Negotiation
Marriage and Family Therapists,Accounting software ,Therapy and Counseling,Active Listening
, Intuit QuickBooks Data base user interface and query software ,Psychology,Social Perceptiveness
, Microsoft Access Electronic mail software ,Customer and Personal Service,Judgment and Decision Making
, Microsoft Outlook Internet browser software ,English Language,Service Orientation
, Web browser software Medical software ,Sociology and Anthropology,Speaking
, Anasazi Software Client Data System,Philosophy and Theology,Complex Problem Solving
, Blueberry Harbor Software Clinical Record Keeper,Medicine and Dentistry,Critical Thinking
, SumTime Software SumTime,,Reading Comprehension
, Synergistic Office Solutions SOS Case Manager  (see all 20 examples)Office suite software ,,Writing
, Microsoft Office Presentation software ,,Monitoring
, Microsoft PowerPoint Spreadsheet software ,,Persuasion
, Microsoft Excel Word processing software ,,Active Learning
, Microsoft Word ,,Negotiation
,,,Instructing
,,,Coordination
,,,Systems Evaluation
,,,Operations Analysis
,,,Systems Analysis
,,,Time Management
,,,Learning Strategies
,,,Management of Personnel Resources
Mental Health and Substance Abuse Social Workers,Calendar and scheduling software ,Psychology,Active Listening
, Scheduling software Data base user interface and query software ,Therapy and Counseling,Social Perceptiveness
, Database software Desktop publishing software ,Customer and Personal Service,Speaking
, Adobe Systems Adobe PageMaker,Sociology and Anthropology,Reading Comprehension
, Microsoft Publisher Document management software ,English Language,Coordination
, Adobe Acrobat Electronic mail software ,Clerical,Critical Thinking
, Email software,Education and Training,Monitoring
, Microsoft Outlook Internet browser software ,Computers and Electronics,Service Orientation
, Microsoft Internet Explorer,,Writing
, Netscape Navigator,,Complex Problem Solving
, Web browser software Medical software ,,Learning Strategies
, Medical condition coding software  ,,Persuasion
, Medical procedure coding software  ,,Active Learning
, Patient electronic medical record EMR software,,Judgment and Decision Making
, Social Work Software ClientTouch  (see all 7 examples)Office suite software ,,Negotiation
, Corel WordPerfect,,Time Management
, Microsoft Office Presentation software ,,Instructing
, Information presentation software,,Systems Analysis
, Microsoft PowerPoint Project management software ,,Management of Personnel Resources
, Microsoft SharePoint Spreadsheet software ,,Systems Evaluation
, Microsoft Excel Word processing software ,,
, Microsoft Word ,,
Mental Health Counselors,Analytical or scientific software ,Psychology,Active Listening
, Statistical software,Therapy and Counseling,Social Perceptiveness
, Test interpretation software Calendar and scheduling software ,Customer and Personal Service,Service Orientation
, Scheduling software Data base user interface and query software ,Sociology and Anthropology,Speaking
, Database software,English Language,Critical Thinking
, Microsoft Access Electronic mail software ,Education and Training,Judgment and Decision Making
, Email software,Clerical,Monitoring
, Microsoft Outlook Enterprise resource planning ERP software   ,Philosophy and Theology,Writing
, Management information systems MIS,Law and Government,Reading Comprehension
, Oracle PeopleSoft Internet browser software ,Administration and Management,Persuasion
, Microsoft Internet Explorer,,Active Learning
, Netscape Navigator,,Learning Strategies
, Web browser software Medical software ,,Complex Problem Solving
, Client information database systems,,Coordination
, Patient electronic medical record EMR software Office suite software ,,Negotiation
, Microsoft Office Presentation software ,,Systems Evaluation
, Microsoft PowerPoint Spreadsheet software ,,Instructing
, Microsoft Excel Word processing software ,,Science
, Microsoft Word ,,Systems Analysis
,,,Management of Personnel Resources
,,,Operations Analysis
,,,Time Management
Neuropsychologists and Clinical Neuropsychologists,Analytical or scientific software ,Psychology,Active Listening
, IBM SPSS Statistics  ,Therapy and Counseling,Critical Thinking
, Noldus Information Technology The Observer,English Language,Reading Comprehension
, Statistical software Calendar and scheduling software ,Medicine and Dentistry,Social Perceptiveness
, Scheduling software Data base user interface and query software ,Education and Training,Writing
, Database software Electronic mail software ,Customer and Personal Service,Active Learning
, Email software Internet browser software ,Mathematics,Complex Problem Solving
, Web browser software Medical software ,Biology,Speaking
, Behavioral Assessment and Research System BARS,Sociology and Anthropology,Judgment and Decision Making
, BrainMetric The Category Test,,Science
, BrainTrain Captain's Log,,Learning Strategies
, The Tova Company Test of Variables of Attention  (see all 11 examples)Office suite software ,,Monitoring
, Microsoft Office Presentation software ,,Service Orientation
, Microsoft PowerPoint Spreadsheet software ,,Instructing
, Microsoft Excel Word processing software ,,Systems Evaluation
, Microsoft Word ,,Persuasion
,,,Systems Analysis
,,,Coordination
,,,Management of Personnel Resources
,,,Mathematics
,,,Time Management
Rehabilitation Counselors,Accounting software ,Therapy and Counseling,Active Listening
, Budgeting software Analytical or scientific software ,Customer and Personal Service,Social Perceptiveness
, Test interpretation software Calendar and scheduling software ,Psychology,Monitoring
, Fanatic Software Informant,Education and Training,Speaking
, Microsoft Office Outlook (Calendar),English Language,Critical Thinking
, Scheduling software Data base user interface and query software ,Clerical,Coordination
, Data input software Document management software ,Administration and Management,Service Orientation
, Adobe Systems Adobe Reader Electronic mail software ,Sociology and Anthropology,Writing
, Email software,Computers and Electronics,Reading Comprehension
, Microsoft Outlook Internet browser software ,,Time Management
, Microsoft Internet Explorer,,Judgment and Decision Making
, Microsoft Mobile Explorer MME,,Negotiation
, Netscape Navigator,,Systems Analysis
, Web browser software Medical software ,,Complex Problem Solving
, Chart Links,,Persuasion
, Client information database software,,Instructing
, Electronic medical record EMR software Mobile location based services software ,,Operations Analysis
, Global positioning system GPS software Mobile operator specific application software ,,Systems Evaluation
, Microsoft ActiveSync Office suite software ,,Active Learning
, Microsoft Office,,Learning Strategies
, Microsoft Office Mobile Presentation software ,,
, Microsoft PowerPoint Spreadsheet software ,,
, Microsoft Excel Transaction security and virus protection software ,,
, Encryption software,,
, Virus protection software Voice recognition software ,,
, Word recognition software Word processing software ,,
, Microsoft Word ,,
School Psychologists,Analytical or scientific software ,Psychology,Active Listening
, Testing software Computer based training software ,Therapy and Counseling,Reading Comprehension
, Instructional software Data base user interface and query software ,English Language,Social Perceptiveness
, Centris Group IEP Direct,Education and Training,Speaking
, Global Education Technologies EXCENT,Sociology and Anthropology,Writing
, PowerSchool Group PowerSchool SIS,Mathematics,Critical Thinking
, Vision Management Consulting IEP PlaNET  (see all 15 examples)Electronic mail software ,Computers and Electronics,Monitoring
, Email software Internet browser software ,,Active Learning
, Web browser software Office suite software ,,Complex Problem Solving
, Microsoft Office Optical character reader OCR or scanning software ,,Judgment and Decision Making
, Test scoring software Presentation software ,,Negotiation
, Microsoft PowerPoint Spreadsheet software ,,Time Management
, Microsoft Excel Word processing software ,,Coordination
, Ewing Solutions QuickWriter,,Learning Strategies
, Microsoft Word ,,Persuasion
,,,Service Orientation
,,,Instructing
,,,Systems Analysis
,,,Systems Evaluation
,,,Management of Personnel Resources
Substance Abuse and Behavioral Disorder Counselors,Analytical or scientific software ,Psychology,Active Listening
, Statistical software Calendar and scheduling software ,Therapy and Counseling,Social Perceptiveness
, Scheduling software Data base user interface and query software ,Customer and Personal Service,Speaking
, Database software,English Language,Critical Thinking
, EAG Economic Analysis Group CaseTrack,Sociology and Anthropology,Reading Comprehension
, Online informational database software Electronic mail software ,Clerical,Service Orientation
, Email software,Education and Training,Active Learning
, IBM Lotus Notes Internet browser software ,Computers and Electronics,Judgment and Decision Making
, Web browser software Medical software ,Philosophy and Theology,Monitoring
, Addison Health Systems WritePad EMR Systems,Law and Government,Writing
, Athena Software Penelope Case Management,Public Safety and Security,Persuasion
, STI Computer Services ChartMaker,Administration and Management,Complex Problem Solving
, Varian Medical Systems  (see all 14 examples)Office suite software ,,Learning Strategies
, Microsoft Office Presentation softwareProject management software ,,Coordination
, Practice Technology Prevail Spreadsheet software ,,Instructing
, Microsoft Excel Word processing software ,,Systems Analysis
, Microsoft Word ,,Systems Evaluation
,,,Management of Personnel Resources
,,,Negotiation
,,,Time Management
Childcare Workers,,,Monitoring
,,,Service Orientation
,,,Social Perceptiveness
,,,Active Listening
,,,Coordination
,,,Critical Thinking
,,,Speaking
,,,Active Learning
,,,Complex Problem Solving
,,,Instructing
,,,Judgment and Decision Making
,,,Learning Strategies
,,,Reading Comprehension
,,,Writing
Nannies,,,Monitoring
,,,Social Perceptiveness
,,,Active Listening
,,,Speaking
,,,Judgment and Decision Making
,,,Service Orientation
,,,Complex Problem Solving
,,,Time Management
,,,Coordination
,,,Critical Thinking
,,,Persuasion
,,,Instructing
,,,Learning Strategies
,,,Negotiation
,,,Writing
,,,Active Learning
,,,Reading Comprehension
"Child, Family, and School Social Workers",Data base user interface and query software ,Customer and Personal Service,Active Listening
, Microsoft Access  ,Psychology,Speaking
, Student information systems SIS Electronic mail software ,Therapy and Counseling,Critical Thinking
, Microsoft Outlook Internet browser software ,English Language,Social Perceptiveness
, Web browser software Medical software ,Clerical,Judgment and Decision Making
, Patient electronic medical record EMR software Office suite software ,Sociology and Anthropology,Reading Comprehension
, Microsoft Office Presentation software ,Education and Training,Service Orientation
, Microsoft PowerPoint Spreadsheet software ,Law and Government,Complex Problem Solving
, Microsoft Excel Word processing software ,,Monitoring
, Microsoft Word ,,Coordination
,,,Negotiation
,,,Persuasion
,,,Time Management
,,,Writing
,,,Active Learning
,,,Instructing
,,,Learning Strategies
,,,Systems Analysis
Clergy,Calendar and scheduling software ,Philosophy and Theology,Speaking
, Event scheduling software Data base user interface and query software ,English Language,Active Listening
, Membership databases Electronic mail software ,Therapy and Counseling,Service Orientation
, Email software Instant messaging software ,Psychology,Social Perceptiveness
, Twitter Internet browser software ,Education and Training,Reading Comprehension
, Web browser software Office suite software ,Administration and Management,Writing
, Microsoft Office Presentation software ,Sociology and Anthropology,Instructing
, Microsoft PowerPoint Spreadsheet software ,History and Archeology,Judgment and Decision Making
, Microsoft Excel Web page creation and editing software ,Customer and Personal Service,Active Learning
, Facebook Word processing software ,Personnel and Human Resources,Negotiation
, Microsoft Word ,Communications and Media,Persuasion
,,,Critical Thinking
,,,Learning Strategies
,,,Time Management
,,,Complex Problem Solving
,,,Coordination
,,,Monitoring
,,,Systems Evaluation
,,,Management of Personnel Resources
,,,Management of Material Resources
,,,Systems Analysis
Community Health Workers,Data base user interface and query software ,Customer and Personal Service,Active Listening
, Client databases,English Language,Social Perceptiveness
, Microsoft Access Desktop publishing software ,Education and Training,Speaking
, Microsoft Publisher Electronic mail software ,Administration and Management,Writing
, Microsoft Outlook Internet browser software ,Medicine and Dentistry,Reading Comprehension
, Web browser software Medical software ,Psychology,Service Orientation
, Electronic health record EHR software Office suite software ,Clerical,Critical Thinking
, Microsoft Office Presentation software ,Computers and Electronics,Active Learning
, Microsoft PowerPoint Spreadsheet software ,Personnel and Human Resources,Coordination
, Microsoft Excel Word processing software ,,Complex Problem Solving
, Microsoft Word ,,Instructing
,,,Persuasion
,,,Judgment and Decision Making
,,,Learning Strategies
,,,Monitoring
,,,Systems Analysis
,,,Time Management
,,,Management of Personnel Resources
,,,Systems Evaluation
,,,Negotiation
"Directors, Religious Activities and Education",Calendar and scheduling software ,Philosophy and Theology,Social Perceptiveness
, Event scheduling software Data base user interface and query software ,Customer and Personal Service,Speaking
, Database software Desktop publishing software ,Education and Training,Active Listening
, Microsoft Publisher Electronic mail software ,English Language,Reading Comprehension
, Email software,Administration and Management,Coordination
, Microsoft Outlook Instant messaging software ,Psychology,Critical Thinking
, Twitter Internet browser software ,Communications and Media,Complex Problem Solving
, Web browser software Office suite software ,Therapy and Counseling,Instructing
, Microsoft Office Presentation software ,Clerical,Active Learning
, Microsoft PowerPoint Spreadsheet software ,,Judgment and Decision Making
, Microsoft Excel Web page creation and editing software ,,Learning Strategies
, Facebook  ,,Service Orientation
, Website development software Word processing software ,,Time Management
, Microsoft Word ,,Writing
,,,Management of Personnel Resources
,,,Persuasion
,,,Systems Analysis
,,,Monitoring
,,,Negotiation
,,,Systems Evaluation
