job_position,technology_skills,knowledge,skills
, SAP  (see all 11 examples)Financial analysis software ,,
, Oracle E-Business Suite Financials Graphics or photo imaging software ,,
, Adobe Systems Adobe Illustrator  ,,
, Adobe Systems Adobe Photoshop  ,,
, Graphics software,,
, Microsoft Visio Human resources software ,,
, Human resource management software HRMS  ,,
, Questek Humanis,,
, Workflow International Deskflow Enterprise Information retrieval or search software ,,
, LexisNexis Internet browser software ,,
, Web browser software Inventory management software ,,
, Fishbowl Warehouse Medical software ,,
, PCC EHR,,
, PCC Pediatric Partner Network conferencing software ,,
, Microsoft Office SharePoint Server MOSS Office suite software ,,
, Corel WordPerfect,,
, Microsoft Office Operating system software ,,
, Apple macOS Presentation software ,,
, Microsoft PowerPoint Procurement software ,,
, Aestiva Purchase Order Project management software ,,
, Microsoft Project  ,,
, Microsoft SharePoint  ,,
, Microsoft Team Foundation Server,,
, Oracle Primavera Enterprise Project Portfolio Management Spreadsheet software ,,
, Microsoft Excel Time accounting software ,,
, Work Technology WorkTech Time,,
, Workbrain Time and Attendance Video conferencing software ,,
, Web conferencing software Web page creation and editing software ,,
, Adobe Systems Adobe Contribute,,
, LinkedIn  ,,
, RefWorks RefShare Word processing software ,,
, Microsoft Word  ,,
, Transcription software ,,
File Clerks,Accounting software ,,Reading Comprehension
, Intuit QuickBooks Data base user interface and query software ,,Active Listening
, Data entry software  ,,Critical Thinking
, Microsoft Access Electronic mail software ,,Monitoring
, Email software,,Service Orientation
, Microsoft Outlook Filesystem software ,,Social Perceptiveness
, Electronic filing software Medical software ,,Speaking
, Electronic health record EHR software Office suite software ,,Time Management
, Microsoft Office Optical character reader OCR or scanning software ,,Writing
, Optical scanning software Presentation software ,,
, Microsoft PowerPoint Spreadsheet software ,,
, Microsoft Excel Word processing software ,,
, Microsoft Word ,,
First-Line Supervisors of Office and Administrative Support Workers,Access software ,Administration and Management,Active Listening
, Citrix Accounting software ,Customer and Personal Service,Coordination
, Fund accounting software  ,Clerical,Monitoring
, Intuit QuickBooks  ,English Language,Reading Comprehension
, Sage 50 Accounting,Computers and Electronics,Social Perceptiveness
, Tax software  (see all 6 examples)Analytical or scientific software ,Personnel and Human Resources,Speaking
, IBM SPSS Statistics Business intelligence and data analysis software ,Economics and Accounting,Critical Thinking
, IBM Cognos Impromptu  ,,Active Learning
, Qlik Tech QlikView  ,,Instructing
, Tableau Calendar and scheduling software ,,Judgment and Decision Making
, Work scheduling software Communications server software ,,Management of Personnel Resources
, IBM Domino Customer relationship management CRM software ,,Time Management
, Blackbaud The Raiser's Edge  ,,Writing
, Oracle Eloqua  ,,Learning Strategies
, Salesforce software Data base reporting software ,,Negotiation
, SAP Crystal Reports Data base user interface and query software ,,Persuasion
, Blackboard  ,,Service Orientation
, Data entry software  ,,Complex Problem Solving
, FileMaker Pro,,Systems Evaluation
, Microsoft Access  (see all 5 examples)Desktop publishing software ,,Systems Analysis
, Microsoft Publisher Document management software ,,
, Adobe Systems Adobe Acrobat  ,,
, Document management system software Electronic mail software ,,
, IBM Notes  ,,
, Microsoft Exchange Server  ,,
, Microsoft Outlook Enterprise resource planning ERP software   ,,
, Microsoft Dynamics  ,,
, NetSuite ERP  ,,
, Oracle PeopleSoft  ,,
, SAP  (see all 10 examples)Financial analysis software ,,
, Delphi Technology  ,,
, Oracle E-Business Suite Financials Graphics or photo imaging software ,,
, Microsoft Visio Human resources software ,,
, ADP Workforce Now  ,,
, Human resource management software HRMS Information retrieval or search software ,,
, LexisNexis Internet browser software ,,
, Microsoft Internet Explorer,,
, Mozilla Firefox,,
, Web browser software Medical software ,,
, Healthcare common procedure coding system HCPCS  ,,
, Medical condition coding software  ,,
, Medical procedure coding software  ,,
, MEDITECH software Office suite software ,,
, Microsoft Office Operating system software ,,
, Apple macOS  ,,
, Handheld computer device software  ,,
, Microsoft Windows Presentation software ,,
, Microsoft PowerPoint Project management software ,,
, Contract management software,,
, HCSS HeavyBid,,
, Microsoft Project  ,,
, Microsoft SharePoint  (see all 5 examples)Spreadsheet software ,,
, Microsoft Excel Time accounting software ,,
, Payroll software Transaction security and virus protection software ,,
, Symantec Video creation and editing software ,,
, YouTube Web page creation and editing software ,,
, Facebook Word processing software ,,
, Microsoft Word ,,
"Human Resources Assistants, Except Payroll and Timekeeping",Calendar and scheduling software ,,Active Listening
, Google Calendar Computer based training software ,,Reading Comprehension
, Blackboard Learn,,Speaking
, Learning management system LMS,,Writing
, WebCT Data base user interface and query software ,,Critical Thinking
, Database software,,Monitoring
, FileMaker Pro,,Social Perceptiveness
, Microsoft Access Desktop publishing software ,,Time Management
, Microsoft Publisher Document management software ,,Active Learning
, Document management system software Electronic mail software ,,Complex Problem Solving
, Email software,,Coordination
, Microsoft Outlook Enterprise resource planning ERP software   ,,Judgment and Decision Making
, Oracle PeopleSoft  ,,Service Orientation
, SAP ERP Graphics or photo imaging software ,,
, Microsoft Visio Human resources software ,,
, ADP Workforce Now  ,,
, Human resource management software HRMS  ,,
, Oracle Taleo  ,,
, Workscape HR Service Center  (see all 12 examples)Internet browser software ,,
, Microsoft Internet Explorer Office suite software ,,
, Corel WordPerfect Office Suite,,
, Microsoft Office Optical character reader OCR or scanning software ,,
, Scanning software Presentation software ,,
, Microsoft PowerPoint Project management software ,,
, Microsoft SharePoint Spreadsheet software ,,
, Microsoft Excel Word processing software ,,
, Google Docs,,
, Microsoft Word ,,
"Interviewers, Except Eligibility and Loan",Analytical or scientific software ,,Active Listening
, Statistical software Data base user interface and query software ,,Speaking
, Data entry software  ,,Reading Comprehension
, FileMaker Pro Electronic mail software ,,Critical Thinking
, Microsoft Outlook Enterprise resource planning ERP software   ,,Service Orientation
, Jenzabar EX,,Social Perceptiveness
, Oracle PeopleSoft  ,,
, SAP Business Objects Human resources software ,,
, RIVS automated interview software Internet browser software ,,
, Web browser software Medical software ,,
, Electronic health record EHR software,,
, Medical condition coding software  ,,
, Medical procedure coding software  ,,
, MEDITECH software Office suite software ,,
, Microsoft Office Presentation software ,,
, Microsoft PowerPoint Project management software ,,
, Creative Research Systems The Survey System,,
, FluidSurveys,,
, Qualtrics Insight,,
, SaaS SurveyMonkey  (see all 5 examples)Spreadsheet software ,,
, Microsoft Excel Word processing software ,,
, Microsoft Word ,,
"Library Assistants, Clerical",Data base user interface and query software ,,Service Orientation
, Database software,,Active Listening
, Microsoft Access  ,,Reading Comprehension
, Recordkeeping software Desktop publishing software ,,Coordination
, Microsoft Publisher Document management software ,,Critical Thinking
, Adobe Systems Adobe Acrobat Graphics or photo imaging software ,,Speaking
, Adobe Systems Adobe Photoshop Information retrieval or search software ,,Writing
, Video retrieval systems Internet browser software ,,
, Web browser software Library software ,,
, Cataloging software,,
, Online Computer Library Center OCLC,,
, ResourceMate Plus,,
, WorldCat  (see all 6 examples)Object or component oriented development software ,,
, C++ Office suite software ,,
, Microsoft Office Presentation software ,,
, Microsoft PowerPoint Spreadsheet software ,,
, Microsoft Excel Word processing software ,,
, Microsoft Word ,,
"Mail Clerks and Mail Machine Operators, Except Postal Service",Accounting software ,,
, Financial accounting software Data base user interface and query software ,,
, Microsoft Access  ,,
, Recordkeeping software Electronic mail software ,,
, Email software,,
, Microsoft Outlook Internet browser software ,,
, Web browser software Mailing and shipping software ,,
, Postal Explorer Office suite software ,,
, Microsoft Office Spreadsheet software ,,
, Microsoft Excel Word processing software ,,
, Microsoft Word ,,
"Meter Readers, Utilities",Accounting software ,,Active Listening
, Billing software Charting software ,,Critical Thinking
, Graphing software Data base reporting software ,,Reading Comprehension
, Meter reading software Data base user interface and query software ,,Service Orientation
, Data entry software Map creation software ,,Speaking
, Mapping software Operating system software ,,Time Management
, Microsoft Windows Spreadsheet software ,,
, Microsoft Excel Word processing software ,,
, Microsoft Word ,,
New Accounts Clerks,Accounting softwareCustomer relationship management CRM software ,Customer and Personal Service,Active Listening
, IPS-Sendero Relationship Profitability Manager Catalyst Data base user interface and query software ,Clerical,Speaking
, Corporate Information Factory CIF,Sales and Marketing,Reading Comprehension
, Data entry software  ,English Language,Service Orientation
, Fiserv,Economics and Accounting,Critical Thinking
, Harland Financial Solutions DepositPro Electronic mail software ,Mathematics,Social Perceptiveness
, Email software,Computers and Electronics,Monitoring
, IBM Lotus Notes Enterprise resource planning ERP software   ,Administration and Management,Writing
, DCI iCore,Education and Training,Coordination
, Microsoft Dynamics GP Financial analysis software ,Personnel and Human Resources,Judgment and Decision Making
, Financial needs analysis software,,Mathematics
, Systems Union Group MIS DecisionWare Internet browser software ,,Persuasion
, Microsoft Internet Explorer,,
, Web browser software Office suite software ,,
, Microsoft Office Presentation software ,,
, Microsoft PowerPoint Project management software ,,
, Microsoft SharePoint Spreadsheet software ,,
, Microsoft Excel Word processing software ,,
, Microsoft Word ,,
"Office Clerks, General",Accounting software ,,Active Listening
, Billing software,,Reading Comprehension
, Bookkeeping software,,Speaking
, Intuit QuickBooks  ,,Writing
, Sage 50 Accounting Calendar and scheduling software ,,Coordination
, Appointment scheduling software Customer relationship management CRM software ,,Critical Thinking
, Blackbaud The Raiser's Edge  ,,Service Orientation
, Salesforce.com Salesforce CRM Data base user interface and query software ,,Social Perceptiveness
, Data entry software  ,,Time Management
, FileMaker Pro,,
, IBM Check Processing Control System CPSC,,
, Microsoft Access  (see all 9 examples)Desktop publishing software ,,
, Adobe Systems Adobe InDesign  ,,
, Microsoft Publisher Document management software ,,
, Adobe Systems Adobe Acrobat  ,,
, Filing system software,,
, Records management software,,
, Transcription system software Electronic mail software ,,
, IBM Notes  ,,
, Microsoft Outlook Enterprise application integration software ,,
, Electronic Data Interchange EDI systems Enterprise resource planning ERP software   ,,
, Oracle JD Edwards EnterpriseOne  ,,
, Oracle PeopleSoft  ,,
, Oracle PeopleSoft Financials,,
, SAP Human resources software ,,
, ADP Workforce Now Information retrieval or search software ,,
, LexisNexis Internet browser software ,,
, Web browser software Medical software ,,
, Medical condition coding software  ,,
, Medical procedure coding software  ,,
, MEDITECH software Office suite software ,,
, Microsoft Office Operating system software ,,
, Microsoft Windows Presentation software ,,
, Microsoft PowerPoint Project management software ,,
, Mavenlink Spreadsheet software ,,
, Microsoft Excel Web page creation and editing software ,,
, Facebook  ,,
, LinkedIn Word processing software ,,
, Google Docs,,
, Microsoft Word ,,
"Office Machine Operators, Except Computer",Data base user interface and query software ,,Operation and Control
, Data entry software  ,,Operation Monitoring
, Microsoft Access Desktop publishing software ,,Reading Comprehension
, Microsoft Publisher Document management software ,,Active Listening
, Adobe Systems Adobe Acrobat Electronic mail software ,,Critical Thinking
, Microsoft Outlook Office suite software ,,Judgment and Decision Making
, Microsoft Office Presentation software ,,Monitoring
, Microsoft PowerPoint Spreadsheet software ,,Speaking
, Microsoft Excel Word processing software ,,Time Management
, Microsoft Word ,,
Order Clerks,Accounting software ,Customer and Personal Service,Active Listening
, Intuit QuickBooks Data base user interface and query software ,Clerical,Reading Comprehension
, Automated manifest system software,English Language,Speaking
, Data entry software  ,Computers and Electronics,Service Orientation
, Microsoft Access Document management software ,Sales and Marketing,Social Perceptiveness
, Adobe Systems Adobe Acrobat Electronic mail software ,Production and Processing,Coordination
, Email software,Telecommunications,Critical Thinking
, Microsoft Outlook Enterprise resource planning ERP software   ,,Monitoring
," IBM Sterling Configure, Price, Quote",,Persuasion
