job_position,technology_skills,knowledge,skills
, Adobe Systems Adobe Fireworks,,Persuasion
, Adobe Systems Adobe Flash,,Systems Analysis
, Adobe Systems Adobe Photoshop  ,,Systems Evaluation
, Microsoft Visio  (see all 5 examples)Internet browser software ,,Management of Personnel Resources
, Web browser software Object or component oriented development software ,,Negotiation
, Oracle Java Office suite software ,,
, Corel WordPerfect Office Suite,,
, Microsoft Office Presentation software ,,
, Microsoft PowerPoint Project management software ,,
, Microsoft SharePoint Spreadsheet software ,,
, IBM Lotus 1-2-3,,
, Microsoft Excel Web page creation and editing software ,,
, Adobe Systems Adobe Dreamweaver  ,,
, Adobe Systems Adobe Flash Player Web platform development software ,,
, Hypertext markup language HTML  ,,
, JavaScript Word processing software ,,
, Microsoft Word ,,
Instructional Designers and Technologists,Analytical or scientific software ,Education and Training,Reading Comprehension
, SAS Computer aided design CAD software   ,English Language,Instructing
, PTC Creo Parametric Computer based training software ,Communications and Media,Learning Strategies
, Blackboard Learn,Computers and Electronics,Writing
, Moodle,Customer and Personal Service,Critical Thinking
, Trivantis CourseMill,Design,Active Listening
, Worldwide Instructional Design System WIDS  (see all 14 examples)Data base user interface and query software ,Psychology,Judgment and Decision Making
, Blackboard  ,Administration and Management,Monitoring
, Microsoft Access Desktop publishing software ,Telecommunications,Speaking
, Adobe Systems Adobe FrameMaker,,Active Learning
, Adobe Systems Adobe InDesign  ,,Complex Problem Solving
, Microsoft Publisher,,Time Management
, Performance Technology Associates DocuTools Development environment software ,,Service Orientation
, Adobe Systems Adobe ActionScript,,Social Perceptiveness
, Adobe Systems Adobe AIR Document management software ,,Systems Analysis
, Adobe Systems Adobe Acrobat  ,,Systems Evaluation
, Vasont Content Management System Electronic mail software ,,Coordination
, Email software,,Management of Personnel Resources
, Microsoft Outlook Enterprise application integration software ,,Persuasion
, Extensible markup language XML Graphical user interface development software ,,Negotiation
, Adobe Systems Adobe RoboHelp Graphics or photo imaging software ,,
, Adobe Systems Adobe Creative Cloud  ,,
, Adobe Systems Adobe Photoshop  ,,
, Microsoft Visio  ,,
, TechSmith Snagit  (see all 7 examples)Internet browser software ,,
, Web browser software Medical software ,,
, Epic Systems Music or sound editing software ,,
, Audacity,,
, Sony Sound Forge Network conferencing software ,,
, Adobe Systems Adobe Connect,,
, Microsoft Office SharePoint Server MOSS,,
, Webinar software Object or component oriented development software ,,
, Practical extraction and reporting language Perl Office suite software ,,
, Microsoft Office Presentation software ,,
, Adobe Systems Adobe Presenter,,
, Microsoft PowerPoint Project management software ,,
, etouches,,
, Microsoft Project Spreadsheet software ,,
, Microsoft Excel Video creation and editing software ,,
, Adobe Systems Adobe AfterEffects  ,,
, Apple Final Cut Pro  ,,
, Avid Technology Pinnacle Studio,,
, TechSmith Camtasia  (see all 6 examples)Web page creation and editing software ,,
, Adobe Systems Adobe Dreamweaver  ,,
, IXL Learning Quia Web,,
, Nvu,,
, SeaMonkey  (see all 5 examples)Web platform development software ,,
, Cascading Style Sheets CSS  ,,
, Dynamic hypertext markup language DHTML,,
, Hypertext markup language HTML  ,,
, JavaScript  (see all 6 examples)Word processing software ,,
, Microsoft Word ,,
Interpreters and Translators,Data base user interface and query software ,English Language,Active Listening
, Microsoft Access Dictionary software ,Foreign Language,Speaking
, Electronic dictionaries Electronic mail software ,Customer and Personal Service,Reading Comprehension
, Microsoft Outlook Foreign language software ,Communications and Media,Writing
, AceTools.biz Ace Translator,Law and Government,Critical Thinking
, Adapt It,Education and Training,Monitoring
, Smart Link Corporation ImTranslator,Computers and Electronics,Active Learning
, Stormdance CatsCradle  (see all 15 examples)Internet browser software ,Clerical,Coordination
, Web browser software Office suite software ,Sociology and Anthropology,Instructing
, Microsoft Office Presentation software ,Telecommunications,Judgment and Decision Making
, Microsoft PowerPoint Spreadsheet software ,,Learning Strategies
, Microsoft Excel Web platform development software ,,Service Orientation
, Extensible HyperText Markup Language XHTML  ,,Social Perceptiveness
, Hypertext markup language HTML Word processing software ,,Complex Problem Solving
, Microsoft Word ,,Time Management
Librarians,Analytical or scientific software ,Customer and Personal Service,Reading Comprehension
, StataCorp Stata Data base user interface and query software ,English Language,Active Listening
, Ex Libris Group Aleph,Clerical,Speaking
, Microsoft Access  ,Computers and Electronics,Writing
, Structured query language SQL  ,Education and Training,Critical Thinking
, Thomson Scientific Dialog  (see all 15 examples)Desktop publishing software ,Administration and Management,Monitoring
, Microsoft Publisher Document management software ,Communications and Media,Instructing
, Adobe Systems Adobe Acrobat Electronic mail software ,,Judgment and Decision Making
, Email software Enterprise application integration software ,,Active Learning
, Extensible markup language XML Graphics or photo imaging software ,,Complex Problem Solving
, Adobe Systems Adobe Photoshop Information retrieval or search software ,,Service Orientation
, Classification Web,,Social Perceptiveness
, LexisNexis,,Systems Analysis
, Westlaw Internet browser software ,,Time Management
, Web browser software Library software ,,Coordination
, Online Computer Library Center OCLC,,Learning Strategies
, RCL Software Media Library Manager,,Systems Evaluation
, Surpass,,
, WorldCat  (see all 17 examples)Object or component oriented development software ,,
, Oracle Java Office suite software ,,
, Microsoft Office Presentation software ,,
, Microsoft PowerPoint Project management software ,,
, Microsoft SharePoint Spreadsheet software ,,
, Microsoft Excel Video creation and editing software ,,
, Apple Final Cut Pro  ,,
, Apple iMovie Web page creation and editing software ,,
, Adobe Systems Adobe Dreamweaver  ,,
, Really Simple Syndication RSS,,
, Wiki software,,
, Yahoo Flickr  (see all 7 examples)Web platform development software ,,
, Cascading Style Sheets CSS  ,,
, Hypertext markup language HTML  ,,
, JavaScript  ,,
, Springshare LibGuides  (see all 7 examples)Word processing software ,,
, Microsoft Word ,,
Library Technicians,Data base user interface and query software ,,Reading Comprehension
, Ex Libris Group Aleph,,Active Listening
, Inmagic TextWorks,,Speaking
, Microsoft Access  ,,Service Orientation
, National Library of Medicine Medline  (see all 6 examples)Desktop publishing software ,,Coordination
, Microsoft Publisher Document management software ,,Critical Thinking
, Adobe Systems Adobe Acrobat Electronic mail software ,,Learning Strategies
, Email software Internet browser software ,,Social Perceptiveness
, Web browser software Library software ,,
, Online Computer Library Center OCLC,,
, SirsiDynix Symphony,,
, WebClarity Software BookWhere,,
, WorldCat  (see all 8 examples)Office suite software ,,
, Microsoft Office Presentation software ,,
, Microsoft PowerPoint Spreadsheet software ,,
, Microsoft Excel Web page creation and editing software ,,
, Adobe Systems Adobe Dreamweaver Word processing software ,,
, HandyFile Find and Replace Text Aid Kit,,
, Microsoft Word ,,
Museum Technicians and Conservators,Data base user interface and query software ,Fine Arts,Active Listening
, Gallery Systems EmbARK,English Language,Reading Comprehension
, PastPerfect Software PastPerfect,Public Safety and Security,Speaking
, Questor Systems ARGUS,History and Archeology,Critical Thinking
, Questor Systems QScan32 Electronic mail software ,Administration and Management,Writing
, Microsoft Outlook Graphics or photo imaging software ,Chemistry,Complex Problem Solving
, Adobe Systems Adobe Photoshop Object oriented data base management software ,,Judgment and Decision Making
, Microsoft Visual FoxPro Office suite software ,,Monitoring
, Microsoft Office Spreadsheet software ,,Active Learning
, Microsoft Excel Word processing software ,,Coordination
, Microsoft Word ,,Instructing
Adapted Physical Education Specialists,,Education and Training,Active Listening
,,Psychology,Instructing
,,Law and Government,Service Orientation
,,English Language,Reading Comprehension
,,Therapy and Counseling,Social Perceptiveness
,,Sociology and Anthropology,Speaking
,,Customer and Personal Service,Monitoring
,,,Judgment and Decision Making
,,,Learning Strategies
,,,Writing
,,,Active Learning
,,,Critical Thinking
,,,Time Management
,,,Coordination
,,,Persuasion
,,,Complex Problem Solving
,,,Systems Evaluation
,,,Management of Personnel Resources
,,,Systems Analysis
Adult Basic and Secondary Education and Literacy Teachers and Instructors,Computer based training software ,,Instructing
, Computerized testing software,,Active Listening
, Educational software Data base user interface and query software ,,Learning Strategies
, Data entry software Desktop publishing software ,,Reading Comprehension
, Microsoft Publisher Electronic mail software ,,Speaking
, Microsoft Outlook Enterprise resource planning ERP software   ,,Monitoring
, SAP Graphics or photo imaging software ,,Writing
, Adobe Systems Adobe Photoshop Internet browser software ,,Active Learning
, Web browser software Office suite software ,,Critical Thinking
, Microsoft Office Presentation software ,,Social Perceptiveness
, Microsoft PowerPoint Spreadsheet software ,,Judgment and Decision Making
, Microsoft Excel Word processing software ,,Service Orientation
, Microsoft Word ,,Time Management
,,,Complex Problem Solving
,,,Coordination
,,,Negotiation
"Agricultural Sciences Teachers, Postsecondary",Calendar and scheduling softwareComputer based training software ,Education and Training,Instructing
, Blackboard Learn,English Language,Speaking
, Desire2Learn,Biology,Reading Comprehension
, Learning management system LMS,Mathematics,Active Listening
, Sakai CLE  (see all 5 examples)Data base user interface and query software ,Computers and Electronics,Learning Strategies
, Data entry software  ,Customer and Personal Service,Active Learning
, Data management software,Administration and Management,Writing
, Database software Electronic mail software ,,Critical Thinking
, Email software,,Judgment and Decision Making
, Microsoft Outlook Information retrieval or search software ,,Monitoring
, DOC Cop,,Complex Problem Solving
, iParadigms Turnitin Internet browser software ,,Coordination
, Web browser software Office suite software ,,Time Management
, Microsoft Office Optical character reader OCR or scanning software ,,Science
, Image scanning software Presentation software ,,Social Perceptiveness
, Microsoft PowerPoint Spreadsheet software ,,Systems Evaluation
, Microsoft Excel Web page creation and editing software ,,Management of Personnel Resources
, Web page design software Word processing software ,,Mathematics
, Collaborative editing software,,Service Orientation
, Google Docs,,
, Microsoft Word ,,
"Anthropology and Archeology Teachers, Postsecondary",Analytical or scientific software ,English Language,Speaking
, ESRI ArcGIS Geostatistical Analyst,Sociology and Anthropology,Reading Comprehension
, ESRI ArcGIS Spatial Analyst,Education and Training,Active Learning
, IBM SPSS Statistics Calendar and scheduling softwareComputer aided design CAD software   ,History and Archeology,Active Listening
, ESRI ArcView 3D Analyst,Geography,Critical Thinking
, GibbsCAM Computer based training software ,Foreign Language,Instructing
, Blackboard Learn,Philosophy and Theology,Learning Strategies
, Desire2Learn,Computers and Electronics,Writing
, Learning management system LMS,Communications and Media,Complex Problem Solving
, Sakai CLE  (see all 5 examples)Data base user interface and query software ,Biology,Judgment and Decision Making
, Data entry software Development environment software ,Clerical,Science
, Adobe Systems Adobe Creative Suite Document management software ,Psychology,Time Management
, Adobe Systems Adobe Acrobat Electronic mail software ,,Monitoring
, Email software,,Systems Evaluation
, Microsoft Outlook Graphics or photo imaging software ,,Social Perceptiveness
, Adobe Systems Adobe Flash,,Systems Analysis
, Adobe Systems Adobe Illustrator  ,,Coordination
, Adobe Systems Adobe Photoshop Information retrieval or search software ,,Persuasion
, DOC Cop,,Service Orientation
, iParadigms Turnitin Internet browser software ,,
, Web browser software Map creation software ,,
, ESRI ArcGIS software  ,,
, ESRI ArcMap,,
, Geographic information system GIS software  ,,
, Golden Software Surfer  (see all 5 examples)Office suite software ,,
, Microsoft Office Optical character reader OCR or scanning software ,,
, Digitizing software,,
, Image scanning software Presentation software ,,
, Microsoft PowerPoint Spreadsheet software ,,
, Microsoft Excel Web page creation and editing software ,,
, Adobe Systems Adobe Dreamweaver Web platform development software ,,
, Adobe Systems Adobe Shockwave Player Word processing software ,,
, Collaborative editing software,,
, Google Docs,,
, Microsoft Word ,,
"Architecture Teachers, Postsecondary",Analytical or scientific software ,English Language,Instructing
, Autodesk Ecotect Analysis Calendar and scheduling softwareComputer aided design CAD software   ,Design,Active Listening
, Autodesk 3D Studio Design,Building and Construction,Critical Thinking
, Autodesk AutoCAD  ,Education and Training,Learning Strategies
, Autodesk Revit  ,Engineering and Technology,Reading Comprehension
, McNeel Rhinoceros  (see all 6 examples)Computer based training software ,Fine Arts,Speaking
, Blackboard Learn,Mathematics,Writing
, Desire2Learn,History and Archeology,Active Learning
, Learning management system LMS,Communications and Media,Complex Problem Solving
, Sakai CLE  (see all 5 examples)Data base user interface and query software ,Computers and Electronics,Judgment and Decision Making
, Data entry software Desktop publishing software ,Public Safety and Security,Monitoring
, Adobe Systems Adobe InDesign Development environment software ,Sociology and Anthropology,Social Perceptiveness
, Adobe Systems Adobe Creative Suite Electronic mail software ,Geography,Systems Analysis
, Email software,Personnel and Human Resources,Systems Evaluation
, Microsoft Outlook Graphics or photo imaging software ,Philosophy and Theology,Time Management
, Adobe Systems Adobe Illustrator  ,Physics,Coordination
, Adobe Systems Adobe Photoshop  ,Law and Government,Persuasion
, Autodesk Mudbox,Psychology,Service Orientation
, Blender Information retrieval or search software ,Administration and Management,
, DOC Cop,,
, iParadigms Turnitin Internet browser software ,,
, Web browser software Office suite software ,,
, Microsoft Office Optical character reader OCR or scanning software ,,
, Image scanning software Presentation software ,,
, Microsoft PowerPoint Spreadsheet software ,,
, Microsoft Excel Word processing software ,,
, Collaborative editing software,,
, Microsoft Word ,,
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Calendar and scheduling softwareComputer based training software ,Education and Training,Reading Comprehension
, Blackboard Learn,English Language,Speaking
, Desire2Learn,Foreign Language,Active Listening
, Learning management system LMS,Sociology and Anthropology,Active Learning
, Sakai CLE  (see all 5 examples)Data base user interface and query software ,Computers and Electronics,Critical Thinking
, Data entry software Electronic mail software ,History and Archeology,Instructing
, Email software,Customer and Personal Service,Learning Strategies
, Microsoft Outlook Information retrieval or search software ,Law and Government,Writing
, DOC Cop,Psychology,Complex Problem Solving
, iParadigms Turnitin Internet browser software ,Geography,Judgment and Decision Making
, Web browser software Office suite software ,Philosophy and Theology,Monitoring
, Microsoft Office Optical character reader OCR or scanning software ,,Social Perceptiveness
, Image scanning software Presentation software ,,Science
, Microsoft PowerPoint Spreadsheet software ,,Time Management
, Microsoft Excel Word processing software ,,Coordination
, Collaborative editing software,,Management of Personnel Resources
, Google Docs,,Service Orientation
, Microsoft Word ,,
"Art, Drama, and Music Teachers, Postsecondary",Calendar and scheduling softwareComputer aided design CAD software   ,Fine Arts,Speaking
, Autodesk Maya for Design Visualization Computer based training software ,Education and Training,Instructing
, Blackboard Learn,English Language,Active Learning
, Desire2Learn,History and Archeology,Active Listening
, Learning management system LMS,Philosophy and Theology,Learning Strategies
, Sakai CLE  (see all 5 examples)Data base management system software ,Communications and Media,Reading Comprehension
, MySQL Data base user interface and query software ,Computers and Electronics,Time Management
, Data entry software Desktop publishing software ,Psychology,Monitoring
, Adobe Systems Adobe InDesign  ,,Critical Thinking
, QuarkXpress Development environment software ,,Writing
, PhoneGap Electronic mail software ,,Social Perceptiveness
, Email software,,Complex Problem Solving
, Microsoft Outlook Graphics or photo imaging software ,,Judgment and Decision Making
, Adobe Systems Adobe Illustrator  ,,Coordination
, Adobe Systems Adobe Photoshop  ,,Service Orientation
, Faux Labs Splashup,,Management of Personnel Resources
, The Pixel Farm PFTrack  (see all 7 examples)Information retrieval or search software ,,
, DOC Cop,,
, iParadigms Turnitin Internet browser software ,,
, Web browser software Music or sound editing software ,,
, Adobe Systems Adobe Audition,,
, Apple Logic Pro,,
, Pure Data PD,,
, Sonic Studio  (see all 6 examples)Office suite software ,,
